indicator,age_modifier,sex_modifier,value,county,sub_indicator
Net Enrolment Rate (NER),PRIMARY,FEMALE,95.4,Makueni,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,98.8,Makueni,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,97.1,Makueni,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,87.7,Makueni,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,75.1,Makueni,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,81.2,Makueni,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,91.4,Makueni,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,90.5,Makueni,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,90.9,Makueni,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,529230,Makueni,County population FEMALE
county_population,TOTAL,MALE,513070,Makueni,County population MALE
county_population,TOTAL,TOTAL,1042300,Makueni,County population TOTAL
school_age_children,TOTAL,FEMALE,157386,Makueni,School-aged children FEMALE
school_age_children,TOTAL,MALE,152718,Makueni,School-aged children MALE
school_age_children,TOTAL,TOTAL,310104,Makueni,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,3900,Makueni,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,4500,Makueni,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,8400,Makueni,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,1360,Makueni,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,1770,Makueni,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,3130,Makueni,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,2150,Makueni,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,3430,Makueni,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,5580,Makueni,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,11.1,Makueni,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,22.7,Makueni,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,4.7,Makueni,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,353,Mandera,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,345,Mandera,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,65,Mandera,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.66,Mandera,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.6,Mandera,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.54,Mandera,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,125,Mandera,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,126,Mandera,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,40,Mandera,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,108,Mandera,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,44,Mandera,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,36,Mandera,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,70,Mandera,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,269,Mandera,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,1561,Mandera,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,1376,Mandera,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,2937,Mandera,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,1608,Mandera,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,1800,Mandera,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,3408,Mandera,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,0,Mandera,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,0,Mandera,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,0,Mandera,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,58.9,Mandera,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,100.6,Mandera,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,78.4,Mandera,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,27.6,Mandera,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,44.1,Mandera,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,35.8,Mandera,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,9.8,Mandera,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,12.7,Mandera,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,11.4,Mandera,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,81.8,Mandera,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,85.8,Mandera,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,84.3,Mandera,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,469826,Mandera,County population FEMALE
county_population,TOTAL,MALE,489410,Mandera,County population MALE
county_population,TOTAL,TOTAL,959236,Mandera,County population TOTAL
school_age_children,TOTAL,FEMALE,198797,Mandera,School-aged children FEMALE
school_age_children,TOTAL,MALE,191841,Mandera,School-aged children MALE
school_age_children,TOTAL,TOTAL,390638,Mandera,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,32660,Mandera,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,28340,Mandera,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,61000,Mandera,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,86430,Mandera,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,83620,Mandera,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,170050,Mandera,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,29970,Mandera,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,34450,Mandera,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,64420,Mandera,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,14.6,Mandera,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,8.6,Mandera,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,0.8,Mandera,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,264,Marsabit,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,229,Marsabit,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,48,Marsabit,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,1.03,Marsabit,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.97,Marsabit,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,0.96,Marsabit,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,61,Marsabit,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,41,Marsabit,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,20,Marsabit,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,85,Marsabit,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,38,Marsabit,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,35,Marsabit,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,66,Marsabit,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,131,Marsabit,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,146,Marsabit,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,712,Marsabit,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,858,Marsabit,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,873,Marsabit,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,866,Marsabit,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,1739,Marsabit,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,521,Marsabit,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,436,Marsabit,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,957,Marsabit,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,58.9,Marsabit,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,100.6,Marsabit,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,78.4,Marsabit,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,27.6,Marsabit,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,44.1,Marsabit,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,35.8,Marsabit,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,9.8,Marsabit,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,12.7,Marsabit,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,11.4,Marsabit,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,78.9,Marsabit,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,79.7,Marsabit,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,79.3,Marsabit,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,259237,Marsabit,County population FEMALE
county_population,TOTAL,MALE,256056,Marsabit,County population MALE
county_population,TOTAL,TOTAL,515292,Marsabit,County population TOTAL
school_age_children,TOTAL,FEMALE,102680,Marsabit,School-aged children FEMALE
school_age_children,TOTAL,MALE,101970,Marsabit,School-aged children MALE
school_age_children,TOTAL,TOTAL,204650,Marsabit,School-aged children TOTAL
out_of_school_children,PREPRIMARY_ECE,FEMALE,10060,Marsabit,Out-of-School children PREPRIMARY/ECE FEMALE
out_of_school_children,PREPRIMARY_ECE,MALE,10700,Marsabit,Out-of-School children PREPRIMARY/ECE MALE
out_of_school_children,PREPRIMARY_ECE,TOTAL,20760,Marsabit,Out-of-School children PREPRIMARY/ECE TOTAL
out_of_school_children,PRIMARY,FEMALE,27780,Marsabit,Out-of-School children PRIMARY FEMALE
out_of_school_children,PRIMARY,MALE,31040,Marsabit,Out-of-School children PRIMARY MALE
out_of_school_children,PRIMARY,TOTAL,58820,Marsabit,Out-of-School children PRIMARY TOTAL
out_of_school_children,SECONDARY,FEMALE,11300,Marsabit,Out-of-School children SECONDARY FEMALE
out_of_school_children,SECONDARY,MALE,16720,Marsabit,Out-of-School children SECONDARY MALE
out_of_school_children,SECONDARY,TOTAL,28020,Marsabit,Out-of-School children SECONDARY TOTAL
Percentage of Teenage Pregnancy for girls/women aged 15-19 yrs who have ever been pregnant,TOTAL,FEMALE,29.4,Marsabit,Percentage Of Teenage Pregnancy For Girls/Women Aged 15-19 Yrs Who Have Ever Been Pregnant FEMALE
GBV: Percentage of girls/women who have experienced physical violence since age 15,TOTAL,FEMALE,16.400000000000002,Marsabit,GBV: Percentage Of Girls/Women Who Have Experienced Physical Violence Since Age 15 FEMALE
GBV: Percentage of girls/women aged 15-49 yrs who have ever experienced sexual violence,TOTAL,FEMALE,1,Marsabit,GBV: Percentage Of Girls/Women Aged 15-49 Yrs Who Have Ever Experienced Sexual Violence FEMALE
Number of education Institutions (Public & Private),PREPRIMARY_ECE,NA,1180,Meru,Number Of Education Institutions (Public & Private) PREPRIMARY/ECE 
Number of education Institutions (Public & Private),PRIMARY,NA,1016,Meru,Number Of Education Institutions (Public & Private) PRIMARY 
Number of education Institutions (Public & Private),SECONDARY,NA,410,Meru,Number Of Education Institutions (Public & Private) SECONDARY 
Gender Parity Index,PREPRIMARY_ECE,TOTAL,0.98,Meru,Gender Parity Index PREPRIMARY/ECE TOTAL
Gender Parity Index,PRIMARY,TOTAL,0.98,Meru,Gender Parity Index PRIMARY TOTAL
Gender Parity Index,SECONDARY,TOTAL,1.11,Meru,Gender Parity Index SECONDARY TOTAL
Learner to teacher Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,47,Meru,Learner-Teacher Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner to teacher Ratio in Public Schools,PRIMARY,TOTAL,31,Meru,Learner-Teacher Ratio In Public Schools PRIMARY TOTAL
Learner to teacher Ratio in Public Schools,SECONDARY,TOTAL,28,Meru,Learner-Teacher Ratio In Public Schools SECONDARY TOTAL
Learner-Classroom Ratio in Public Schools,PREPRIMARY_ECE,TOTAL,50,Meru,Learner-Classroom Ratio In Public Schools PREPRIMARY/ECE TOTAL
Learner-Classroom Ratio in Public Schools,PRIMARY,TOTAL,30,Meru,Learner-Classroom Ratio In Public Schools PRIMARY TOTAL
Learner-Classroom Ratio in Public Schools,SECONDARY,TOTAL,38,Meru,Learner-Classroom Ratio In Public Schools SECONDARY TOTAL
Percentage of students with no access to improved water source,NA,TOTAL,25,Meru,Percentage Of Students With No Access To Improved Water Source  TOTAL
Number of schools with no water source,NA,TOTAL,233,Meru,Number Of Schools With No Water Source  TOTAL
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,FEMALE,3066,Meru,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE FEMALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,MALE,2921,Meru,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE MALE
Students' dropout/Absenteeism during 2022,PREPRIMARY_ECE,TOTAL,5987,Meru,Students' Dropout/Absenteeism During 2022 PREPRIMARY/ECE TOTAL
Students' dropout/Absenteeism during 2022,PRIMARY,FEMALE,18043,Meru,Students' Dropout/Absenteeism During 2022 PRIMARY FEMALE
Students' dropout/Absenteeism during 2022,PRIMARY,MALE,16530,Meru,Students' Dropout/Absenteeism During 2022 PRIMARY MALE
Students' dropout/Absenteeism during 2022,PRIMARY,TOTAL,34573,Meru,Students' Dropout/Absenteeism During 2022 PRIMARY TOTAL
Students' dropout/Absenteeism during 2022,SECONDARY,FEMALE,6172,Meru,Students' Dropout/Absenteeism During 2022 SECONDARY FEMALE
Students' dropout/Absenteeism during 2022,SECONDARY,MALE,5147,Meru,Students' Dropout/Absenteeism During 2022 SECONDARY MALE
Students' dropout/Absenteeism during 2022,SECONDARY,TOTAL,11319,Meru,Students' Dropout/Absenteeism During 2022 SECONDARY TOTAL
Net Enrolment Rate (NER),PREPRIMARY_ECE,FEMALE,123.8,Meru,Net Enrolment Rate (NER) PREPRIMARY/ECE FEMALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,MALE,122.5,Meru,Net Enrolment Rate (NER) PREPRIMARY/ECE MALE
Net Enrolment Rate (NER),PREPRIMARY_ECE,TOTAL,123.1,Meru,Net Enrolment Rate (NER) PREPRIMARY/ECE TOTAL
Net Enrolment Rate (NER),PRIMARY,FEMALE,81.4,Meru,Net Enrolment Rate (NER) PRIMARY FEMALE
Net Enrolment Rate (NER),PRIMARY,MALE,81.9,Meru,Net Enrolment Rate (NER) PRIMARY MALE
Net Enrolment Rate (NER),PRIMARY,TOTAL,81.7,Meru,Net Enrolment Rate (NER) PRIMARY TOTAL
Net Enrolment Rate (NER),SECONDARY,FEMALE,65.6,Meru,Net Enrolment Rate (NER) SECONDARY FEMALE
Net Enrolment Rate (NER),SECONDARY,MALE,58.1,Meru,Net Enrolment Rate (NER) SECONDARY MALE
Net Enrolment Rate (NER),SECONDARY,TOTAL,61.9,Meru,Net Enrolment Rate (NER) SECONDARY TOTAL
Primary-to-Secondary Transition Rate,SECONDARY,FEMALE,86.9,Meru,Primary-To-Secondary Transition Rate SECONDARY FEMALE
Primary-to-Secondary Transition Rate,SECONDARY,MALE,85.8,Meru,Primary-To-Secondary Transition Rate SECONDARY MALE
Primary-to-Secondary Transition Rate,SECONDARY,TOTAL,86.4,Meru,Primary-To-Secondary Transition Rate SECONDARY TOTAL
county_population,TOTAL,FEMALE,817774,Meru,County population FEMALE
county_population,TOTAL,MALE,808208,Meru,County population MALE
county_population,TOTAL,TOTAL,1625982,Meru,County population TOTAL
school_age_children,TOTAL,FEMALE,244413,Meru,School-aged children FEMALE
